Time,SUM(12procs)-MEM,SUM(12procs)-CPU
2023-02-01 17:58:31.936,1413,57
2023-02-01 17:58:33.293,1458,61
2023-02-01 17:58:34.653,1470,86
2023-02-01 17:58:35.990,1493,81
2023-02-01 17:58:37.346,1545,63
2023-02-01 17:58:38.707,1563,89
2023-02-01 17:58:40.064,1567,77
2023-02-01 17:58:41.439,1546,93
2023-02-01 17:58:42.798,1555,94
2023-02-01 17:58:44.148,1552,94
2023-02-01 17:58:45.516,1552,89
2023-02-01 17:58:46.887,1553,84
2023-02-01 17:58:48.251,1557,87
2023-02-01 17:58:49.631,1559,89
2023-02-01 17:58:50.990,1560,91
2023-02-01 17:58:52.342,1564,82
2023-02-01 17:58:53.708,1576,66
2023-02-01 17:58:55.078,1567,63
2023-02-01 17:58:56.463,1599,89
2023-02-01 17:58:57.883,1600,93
2023-02-01 17:58:59.238,1602,87
2023-02-01 17:59:00.600,1616,79
2023-02-01 17:59:01.968,1623,80
2023-02-01 17:59:03.335,1635,92
2023-02-01 17:59:04.688,1638,92
2023-02-01 17:59:06.043,1651,90
2023-02-01 17:59:07.405,1616,89
2023-02-01 17:59:08.754,1608,92
2023-02-01 17:59:10.106,1632,92
2023-02-01 17:59:11.493,1657,95
2023-02-01 17:59:12.862,1645,92
2023-02-01 17:59:14.224,1646,91
2023-02-01 17:59:15.585,1650,89
2023-02-01 17:59:16.962,1644,92
2023-02-01 17:59:18.321,1638,90
2023-02-01 17:59:19.684,1639,92
2023-02-01 17:59:21.041,1648,94
2023-02-01 17:59:22.505,1659,92
2023-02-01 17:59:23.866,1657,92
2023-02-01 17:59:25.207,1662,95
2023-02-01 17:59:26.604,1687,93
2023-02-01 17:59:27.962,1656,91
2023-02-01 17:59:29.309,1686,93
2023-02-01 17:59:30.667,1695,93
2023-02-01 17:59:32.012,1681,92
2023-02-01 17:59:33.360,1693,94
2023-02-01 17:59:34.718,1699,93
2023-02-01 17:59:36.137,1689,91
2023-02-01 17:59:37.486,1690,90
2023-02-01 17:59:38.835,1713,92
2023-02-01 17:59:40.182,1692,94
2023-02-01 17:59:41.534,1699,93
2023-02-01 17:59:42.919,1713,91
2023-02-01 17:59:44.312,1732,93
2023-02-01 17:59:45.656,1744,91
2023-02-01 17:59:47.001,1733,92
2023-02-01 17:59:48.357,1725,87
2023-02-01 17:59:49.698,1730,91
2023-02-01 17:59:51.064,1771,92
2023-02-01 17:59:52.418,1731,91
2023-02-01 17:59:53.896,1739,96
2023-02-01 17:59:55.263,1733,96
2023-02-01 17:59:56.647,1741,93
2023-02-01 17:59:58.005,1754,93
2023-02-01 17:59:59.358,1754,92
2023-02-01 18:00:00.703,1751,92
2023-02-01 18:00:02.058,1749,91
2023-02-01 18:00:03.511,1745,94
2023-02-01 18:00:04.881,1753,94
2023-02-01 18:00:06.232,1755,93
2023-02-01 18:00:07.577,1768,91
2023-02-01 18:00:08.937,1772,94
2023-02-01 18:00:10.288,1785,94
2023-02-01 18:00:11.638,1788,94
2023-02-01 18:00:13.004,1790,94
2023-02-01 18:00:14.429,1781,94
2023-02-01 18:00:15.785,1794,92
2023-02-01 18:00:17.142,1800,93
2023-02-01 18:00:18.560,1800,90
2023-02-01 18:00:19.924,1826,93
2023-02-01 18:00:21.261,1846,95
2023-02-01 18:00:22.615,1842,93
2023-02-01 18:00:23.999,1842,95
2023-02-01 18:00:25.362,1839,93
2023-02-01 18:00:26.722,1834,95
2023-02-01 18:00:28.070,1842,92
2023-02-01 18:00:29.404,1847,94
2023-02-01 18:00:30.752,1846,90
2023-02-01 18:00:32.272,1862,95
2023-02-01 18:00:33.632,1850,92
2023-02-01 18:00:34.977,1868,91
2023-02-01 18:00:36.312,1884,92
2023-02-01 18:00:37.680,1896,95
2023-02-01 18:00:39.052,1871,94
2023-02-01 18:00:40.405,1875,93
2023-02-01 18:00:41.757,1872,95
2023-02-01 18:00:43.102,1874,93
2023-02-01 18:00:44.468,1880,94
2023-02-01 18:00:45.840,1876,93
2023-02-01 18:00:47.157,1895,95
2023-02-01 18:00:48.517,1894,91
2023-02-01 18:00:49.877,1896,91
2023-02-01 18:00:51.243,1920,92
2023-02-01 18:00:52.596,1933,93
2023-02-01 18:00:53.929,1937,93
2023-02-01 18:00:55.282,1927,91
2023-02-01 18:00:56.633,1940,92
2023-02-01 18:00:57.971,1943,95
2023-02-01 18:00:59.318,1949,94
2023-02-01 18:01:00.806,1949,90
2023-02-01 18:01:02.174,1916,91
2023-02-01 18:01:03.527,1919,94
2023-02-01 18:01:04.869,1917,91
2023-02-01 18:01:06.229,1921,92
2023-02-01 18:01:07.592,1926,91
2023-02-01 18:01:08.943,1935,93
2023-02-01 18:01:10.313,1950,93
2023-02-01 18:01:11.659,1971,92
2023-02-01 18:01:13.001,1956,92
2023-02-01 18:01:14.363,1947,93
2023-02-01 18:01:15.723,1939,92
2023-02-01 18:01:17.103,1947,92
2023-02-01 18:01:18.469,1948,91
2023-02-01 18:01:19.819,1958,89
2023-02-01 18:01:21.163,1962,93
2023-02-01 18:01:22.506,1960,94
2023-02-01 18:01:23.924,1962,93
2023-02-01 18:01:25.280,1957,93
2023-02-01 18:01:26.651,1958,93
2023-02-01 18:01:28.016,1964,94
2023-02-01 18:01:29.447,1964,95
2023-02-01 18:01:30.824,1968,92
2023-02-01 18:01:32.168,1973,91
2023-02-01 18:01:33.508,1977,91
2023-02-01 18:01:34.856,1974,91
2023-02-01 18:01:36.206,1975,92
2023-02-01 18:01:37.559,1979,93
2023-02-01 18:01:38.905,1980,92
2023-02-01 18:01:40.279,1979,94
2023-02-01 18:01:41.599,1978,90
2023-02-01 18:01:42.951,1976,93
2023-02-01 18:01:44.336,1982,90
2023-02-01 18:01:45.665,1991,89
2023-02-01 18:01:47.017,1983,91
2023-02-01 18:01:48.362,1980,91
2023-02-01 18:01:49.706,1972,89
2023-02-01 18:01:51.082,1972,91
2023-02-01 18:01:52.473,1970,93
2023-02-01 18:01:53.841,1974,91
2023-02-01 18:01:55.187,1975,91
2023-02-01 18:01:56.529,1975,93
2023-02-01 18:01:57.942,1975,92
2023-02-01 18:01:59.261,1985,93
2023-02-01 18:02:00.597,1980,93
2023-02-01 18:02:02.071,1985,91
2023-02-01 18:02:03.434,2000,93
2023-02-01 18:02:04.774,1987,92
2023-02-01 18:02:06.114,1981,91
